name2	skill_level2	damage_a2	damage_magic2	damage_water2	damage_air2	damage_earth2	damage_fire2	damage_poison2	damage_ice2	damage_thunder2	damage_a_PERCENT2	damage_magic_PERCENT2	damage_water_PERCENT2	damage_air_PERCENT2	damage_earth_PERCENT2	damage_fire_PERCENT2	damage_poison_PERCENT2	damage_ice_PERCENT2	damage_thunder_PERCENT2	damage_c_PERCENT2	cost_hp2	cost_mp2	duration2	interval2	dot_dmg_a2	dot_dmg_magic2	dot_dmg_water2	dot_dmg_air2	dot_dmg_earth2	dot_dmg_fire2	dot_dmg_poison2	dot_dmg_ice2	dot_dmg_thunder2	dot_dmg_a_PERCENT2	dot_dmg_magic_PERCENT2	dot_dmg_water_PERCENT2	dot_dmg_air_PERCENT2	dot_dmg_earth_PERCENT2	dot_dmg_fire_PERCENT2	dot_dmg_poison_PERCENT2	dot_dmg_ice_PERCENT2	dot_dmg_thunder_PERCENT2	stun_time2	skill_rate2	aggrodoll_hp2	dot_damage_time2	death2	specific_skill_levelup2	Connection_TID2	Skill_Union2	Skill_Union_Control2	Max_Skill_Union2	bonus_drop_add_rate2	velocity2	ea_damage_physical2	ea_damage_magic2	ea_damage_water2	ea_damage_air2	ea_damage_earth2	ea_damage_fire2	ea_damage_poison2	ea_damage_ice2	ea_damage_thunder2	ea_damage_c2	ea_damage_physical_PERCENT2	ea_damage_magic_PERCENT2	ea_damage_water_PERCENT2	ea_damage_air_PERCENT2	ea_damage_earth_PERCENT2	ea_damage_fire_PERCENT2	ea_damage_poison_PERCENT2	ea_damage_ice_PERCENT2	ea_damage_thunder_PERCENT2	ea_damage_c_PERCENT2	FACTOR_POINT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	FACTOR_PERCENT2	con2	str2	int2	dex2	cha2	wis2	movement2	hp2	mp2	sp2	ap2	agro2	max_hp2	max_mp2	max_sp2	atk_speed2	atk_range2	skill_cast2	skill_delay2	hit_rate2	evade_rate2	dodge_rate2	dmg_min_physical2	dmg_min_magic2	dmg_min_water2	dmg_min_air2	dmg_min_earth2	dmg_min_fire2	dmg_min_poison2	dmg_min_ice2	dmg_min_thunder2	dmg_max_physical2	dmg_max_magic2	dmg_max_water2	dmg_max_air2	dmg_max_earth2	dmg_max_fire2	dmg_max_poison2	dmg_max_ice2	dmg_max_thunder2	def_point_physical2	def_point_magic2	def_point_water2	def_point_air2	def_point_earth2	def_point_fire2	def_point_poison2	def_point_ice2	def_point_thunder2	physical_resistance2	physical_block2	skill_block2	ignore_physical_defence_percent2	ignore_attribute_defence_percent2	critical_defence_percent2	durability_percent2	durability_num2
	15																																															670;674;677;679		1																																																																																																																																							
Fires Masquerade	1																																															351		1																																																																																																																																							
	2																																															351;694		1																																																																																																																																							
	3																																															351;694;695		1																																																																																																																																							
	4																																															351;694;695;696		1																																																																																																																																							
	5																																															351;694;695;696;697		1																																																																																																																																							
	6																																															351;694;695;696;697		1																																																																																																																																							
	7																																															351;694;695;696;697		1																																																																																																																																							
	8																																															351;694;695;696;697		1																																																																																																																																							
	9																																															351;694;695;696;697		1																																																																																																																																							
	10																																															351;694;695;696;697		1																																																																																																																																							
	11																																															351;694;695;696;697		1																																																																																																																																							
	12																																															351;694;695;696;697		1																																																																																																																																							
	13																																															351;694;695;696;697		1																																																																																																																																							
	14																																															351;694;695;696;697		1																																																																																																																																							
	15																																															351;694;695;696;697		1																																																																																																																																							
	16																																															351;694;695;696;697		1																																																																																																																																							
	17																																															351;694;695;696;697		1																																																																																																																																							
	18																																															351;694;695;696;697		1																																																																																																																																							
	19																																															351;694;695;696;697		1																																																																																																																																							
	20																																															351;694;695;696;697		1																																																																																																																																							
Fallen Masquerade	1																																																	1																																																																																																																																							
	2																																															669		1																																																																																																																																							
	3																																															669;671		1																																																																																																																																							
	4																																															669;671;683		1																																																																																																																																							
	5																																															669;671;683;673		1																																																																																																																																							
	6																																															669;671;683;673		1																																																																																																																																							
	7																																															669;671;683;673		1																																																																																																																																							
	8																																															669;671;683;673		1																																																																																																																																							
	9																																															669;671;683;673		1																																																																																																																																							
	10																																															669;671;683;673		1																																																																																																																																							
	11																																															669;671;683;673		1																																																																																																																																							
	12																																															669;671;683;673		1																																																																																																																																							
	13																																															669;671;683;673		1																																																																																																																																							
	14																																															669;671;683;673		1																																																																																																																																							
	15																																															669;671;683;673		1																																																																																																																																							
Masquerade Master	1																																																		1	2																																																																																																																																					
	2																																																		1	2																																																																																																																																					
	3																																																		1	3																																																																																																																																					
	4																																																		1	3																																																																																																																																					
	5																																																		1	4																																																																																																																																					
	6																																																		1	4																																																																																																																																					
	7																																																		1	5																																																																																																																																					
	8																																																		1	5																																																																																																																																					
	9																																																		1	5																																																																																																																																					
	10																																																		1	5																																																																																																																																					
	11																																																		1	6																																																																																																																																					
	12																																																		1	6																																																																																																																																					
	13																																																		1	6																																																																																																																																					
	14																																																		1	6																																																																																																																																					
	15																																																		1	6																																																																																																																																					
Improved Strike	1																																																																																																																																																																																					2			
	2																																																																																																																																																																																					3			
	3																																																																																																																																																																																					4			
	4																																																																																																																																																																																					5			
	5																																																																																																																																																																																					6			
	6																																																																																																																																																																																					7			
	7																																																																																																																																																																																					8			
	8																																																																																																																																																																																					9			
	9																																																																																																																																																																																					10			
	10																																																																																																																																																																																					11			
	11																																																																																																																																																																																					12			
	12																																																																																																																																																																																					13			
	13																																																																																																																																																																																					14			
	14																																																																																																																																																																																					15			
	15																																																																																																																																																																																					16			
	16																																																																																																																																																																																					17			
	17																																																																																																																																																																																					18			
	18																																																																																																																																																																																					19			
	19																																																																																																																																																																																					20			
	20																																																																																																																																																																																					21			
Invisible Blade X	1										70																																						679																												-3		-3																																																																																																										
	2										75																																						679																												-5		-5																																																																																																										
	3										80																																						679																												-7		-7																																																																																																										
	4										85																																						679																												-9		-9																																																																																																										
	5										90																																						679																												-11		-11																																																																																																										
	6										95																																						679																												-13		-13																																																																																																										
	7										100																																						679																												-15		-15																																																																																																										
	8										105																																						679																												-17		-17																																																																																																										
	9										110																																						679																												-19		-19																																																																																																										
	10										115																																						679																												-19		-19																																																																																																										
	11										120																																						679																												-19		-19																																																																																																										
	12										125																																						679																												-19		-19																																																																																																										
	13										130																																						679																												-19		-19																																																																																																										
	14										135																																						679																												-19		-19																																																																																																										
	15										140																																						679																												-19		-19																																																																																																										
	16										140																																						679																												-19		-19																																																																																																										
	17										140																																						679																												-19		-19																																																																																																										
	18										140																																						679																												-19		-19																																																																																																										
	19										140																																						679																												-19		-19																																																																																																										
	20										140																																						679																												-19		-19																																																																																																										
Lightening Rush	1									10	90								45																								3000	30					742																																																																																																																																								
	2									15	95								48																								3000	35					742																																																																																																																																								
	3									20	100								50																								3000	40					742																																																																																																																																								
	4									25	105								53																								3000	45					742																																																																																																																																								
	5									30	110								55																								3000	50					742																																																																																																																																								
	6									35	115								58																								3000	55					742																																																																																																																																								
	7									40	120								60																								3000	60					742																																																																																																																																								
	8									45	125								63																								3000	65					742																																																																																																																																								
	9									50	130								65																								3000	70					742																																																																																																																																								
	10									55	135								68																								3000	75					742																																																																																																																																								
	11									60	140								70																								3000	80					742																																																																																																																																								
	12									65	145								73																								3000	85					742																																																																																																																																								
	13									70	150								75																								3000	90					742																																																																																																																																								
	14									75	155								78																								3000	95					742																																																																																																																																								
	15									80	160								80																								3000	100					742																																																																																																																																								
	16									80	160								80																								3000	100					742																																																																																																																																								
	17									80	160								80																								3000	100					742																																																																																																																																								
	18									80	160								80																								3000	100					742																																																																																																																																								
	19									80	160								80																								3000	100					742																																																																																																																																								
	20									80	160								80																								3000	100					742																																																																																																																																								
Fierce Blow	1										80																																						740																													-2			-2																																																																																																								
	2										85																																						740																													-3			-3																																																																																																								
	3										90																																						740																													-4			-4																																																																																																								
	4										95																																						740																													-5			-5																																																																																																								
	5										100																																						740																													-6			-6																																																																																																								
	6										105																																						740																													-7			-7																																																																																																								
	7										110																																						740																													-8			-8																																																																																																								
	8										115																																						740																													-9			-9																																																																																																								
	9										120																																						740																													-10			-10																																																																																																								
	10										125																																						740																													-10			-10																																																																																																								
	11										130																																						740																													-10			-10																																																																																																								
	12										135																																						740																													-10			-10																																																																																																								
	13										140																																						740																													-10			-10																																																																																																								
	14										145																																						740																													-10			-10																																																																																																								
	15										150																																						740																													-10			-10																																																																																																								
	16										150																																						740																													-10			-10																																																																																																								
	17										150																																						740																													-10			-10																																																																																																								
	18										150																																						740																													-10			-10																																																																																																								
	19										150																																						740																													-10			-10																																																																																																								
	20										150																																						740																													-10			-10																																																																																																								
Close Fin Air	1				15						90			45																																			740																																																																														-4																																																										
	2				20						95			48																																			740																																																																														-7																																																										
	3				25						100			50																																			740																																																																														-10																																																										
	4				30						105			53																																			740																																																																														-13																																																										
	5				35						110			55																																			740																																																																														-16																																																										
	6				40						115			58																																			740																																																																														-19																																																										
	7				45						120			60																																			740																																																																														-20																																																										
	8				50						125			63																																			740																																																																														-21																																																										
	9				55						130			65																																			740																																																																														-22																																																										
	10				60						135			68																																			740																																																																														-23																																																										
	11				65						140			70																																			740																																																																														-24																																																										
	12				70						145			73																																			740																																																																														-25																																																										
	13				75						150			75																																			740																																																																														-26																																																										
	14				80						155			78																																			740																																																																														-27																																																										
	15				85						160			80																																			740																																																																														-28																																																										
	16				85						160			80																																			740																																																																														-29																																																										
	17				85						160			80																																			740																																																																														-30																																																										
	18				85						160			80																																			740																																																																														-31																																																										
	19				85						160			80																																			740																																																																														-32																																																										
	20				85						160			80																																			740																																																																														-33																																																										
<Battle>Critical Hit Defense Increase	1																																																																																																																																																																																						30		
Test Ramda	1																																																																																																																																																																																				50	50	50		
<Summon>Test Ramda	1																																																																																																																																																																																								
Doogie Lv 1	1																																																																																																																																																																																				1	1			
<Summon>Doogie Lv 1	1																																																																																																																																																																																								
Doogie Lv 2	1																																																																																																																																																																																				1	1	1		
<Summon>Doogie Lv 2	1																																																																																																																																																																																								
Doogie Lv 3	1																																																																																																																																																																																				2	2	1		
<Summon>Doogie Lv 3	1																																																																																																																																																																																								
Doogie Lv 4	1																																																																																																																																																																																				3	3	3		
<Summon>Doogie Lv 4	1																																																																																																																																																																																								
Doogie Lv 5	1																																																																																																																																																																																				3	3	4		
<Summon>Doogie Lv 5	1																																																																																																																																																																																								
Doogie Lv 6	1																																																																																																																																																																																				4	4	5		
<Summon>Doogie Lv 6	1																																																																																																																																																																																								
Doogie Lv 7	1																																																																																																																																																																																				5	5	6		
<Summon>Doogie Lv 7	1																																																																																																																																																																																								
Doogie Lv 8	1																																																																																																																																																																																				7	7	7		
<Summon>Doogie Lv 8	1																																																																																																																																																																																								
Doogie Lv 9	1																																																																																																																																																																																				8	8	8		
<Summon>Doogie Lv 9	1																																																																																																																																																																																								
Doogie Lv 10	1																																																																																																																																																																																				10	10	10		
<Summon>Doogie Lv 10	1																																																																																																																																																																																								
Rakundel Lv 1	1																																																																																																																																																																																				1	1			
<Summon>Rakundel Lv 1	1																																																																																																																																																																																								
Rakundel Lv 2	1																																																																																																																																																																																				1	1	1		
<Summon>Rakundel Lv 2	1																																																																																																																																																																																								
Rakundel Lv 3	1																																																																																																																																																																																				2	2	1		
<Summon>Rakundel Lv 3	1																																																																																																																																																																																								
Rakundel Lv 4	1																																																																																																																																																																																				3	3	3		
<Summon>Rakundel Lv 4	1																																																																																																																																																																																								
Rakundel Lv 5	1																																																																																																																																																																																				3	3	4		
<Summon>Rakundel Lv 5	1																																																																																																																																																																																								
Rakundel Lv 6	1																																																																																																																																																																																				4	4	5		
<Summon>Rakundel Lv 6	1																																																																																																																																																																																								
Rakundel Lv 7	1																																																																																																																																																																																				5	5	6		
<Summon>Rakundel Lv 7	1																																																																																																																																																																																								
Rakundel Lv 8	1																																																																																																																																																																																				7	7	7		
<Summon>Rakundel Lv 8	1																																																																																																																																																																																								
Rakundel Lv 9	1																																																																																																																																																																																				8	8	8		
<Summon>Rakundel Lv 9	1																																																																																																																																																																																								
Rakundel Lv 10	1																																																																																																																																																																																				10	10	10		
<Summon>Rakundel Lv 10	1																																																																																																																																																																																								
Latiman Lv 1	1																																																																																																																																																																																				1	1			
<Summon>Latiman Lv 1	1																																																																																																																																																																																								
Latiman Lv 2	1																																																																																																																																																																																				1	1	1		
<Summon>Latiman Lv 2	1																																																																																																																																																																																								
Latiman Lv 3	1																																																																																																																																																																																				2	2	1		
<Summon>Latiman Lv 3	1																																																																																																																																																																																								
Latiman Lv 4	1																																																																																																																																																																																				3	3	3		
<Summon>Latiman Lv 4	1																																																																																																																																																																																								
Latiman Lv 5	1																																																																																																																																																																																				3	3	4		
<Summon>Latiman Lv 5	1																																																																																																																																																																																								
Latiman Lv 6	1																																																																																																																																																																																				4	4	5		
<Summon>Latiman Lv 6	1																																																																																																																																																																																								
Latiman Lv 7	1																																																																																																																																																																																				5	5	6		
<Summon>Latiman Lv 7	1																																																																																																																																																																																								
Latiman Lv 8	1																																																																																																																																																																																				7	7	7		
<Summon>Latiman Lv 8	1																																																																																																																																																																																								
Latiman Lv 9	1																																																																																																																																																																																				8	8	8		
<Summon>Latiman Lv 9	1																																																																																																																																																																																								
Latiman Lv 10	1																																																																																																																																																																																				10	10	10		
<Summon>Latiman Lv 10	1																																																																																																																																																																																								
Lu Lv 1	1																																																																																																																																																																																				1	1			
<Summon>Lu Lv 1	1																																																																																																																																																																																								
Lu Lv 2	1																																																																																																																																																																																				1	1	1		
<Summon>Lu Lv 2	1																																																																																																																																																																																								
Lu Lv 3	1																																																																																																																																																																																				2	2	1		
<Summon>Lu Lv 3	1																																																																																																																																																																																								
Lu Lv 4	1																																																																																																																																																																																				3	3	3		
<Summon>Lu Lv 4	1																																																																																																																																																																																								
Lu Lv 5	1																																																																																																																																																																																				3	3	4		
