ìŠ¤í‚¬ëª…	attribute	upgradable	check_range	target	range	requirement	condition	other_condition	arg1	arg2	arg3	arg4	arg_string	melee_attack	magic_attack	count	special_status	special_status_arg	move_pos	update_factor	reflect_melee_attack	reflect_magic_attack	reflect_heroic_attack	defense_melee_attack	defense_magic_attack	magic_resist_level_up	dispel_magic	transform_target	life_protection	dot	infect_around	add_spellcount	dmg_adjust	skill_factor_adjust	update_combat_point	regen_hp	convert_type	charge	skill_levelup	product	twice_packet	auto_attack	dynamic_target	action_on_action	at_field	summons	action_passive	duration_type	limited_max_level	release_target	visible_effect_type	game_bonus	item_use_type	cash	level_diff_type	detect	ride	game_effect	force	divide	resurrection	skill_union	target_restriction	disturb	downtime_id	downtime_duration	applied_cooldown_cap
Rakundel Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 3																																																																			
Rakundel Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 4																																																																			
Rakundel Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 5																																																																			
Rakundel Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 6																																																																			
Rakundel Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 7																																																																			
Rakundel Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 8																																																																			
Rakundel Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 9																																																																			
Rakundel Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rakundel Lv 10																																																																			
Latiman Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 1																																																																			
Latiman Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 2																																																																			
Latiman Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 3																																																																			
Latiman Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 4																																																																			
Latiman Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 5																																																																			
Latiman Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 6																																																																			
Latiman Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 7																																																																			
Latiman Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 8																																																																			
Latiman Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 9																																																																			
Latiman Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Latiman Lv 10																																																																			
Lu Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 1																																																																			
Lu Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 2																																																																			
Lu Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 3																																																																			
Lu Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 4																																																																			
Lu Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 5																																																																			
Lu Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 6																																																																			
Lu Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 7																																																																			
Lu Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 8																																																																			
Lu Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 9																																																																			
Lu Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Lu Lv 10																																																																			
Milfi Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 1																																																																			
Milfi Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 2																																																																			
Milfi Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 3																																																																			
Milfi Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 4																																																																			
Milfi Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 5																																																																			
Milfi Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 6																																																																			
Milfi Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 7																																																																			
Milfi Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 8																																																																			
Milfi Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 9																																																																			
Milfi Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Milfi Lv 10																																																																			
Bloom Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 1																																																																			
Bloom Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 2																																																																			
Bloom Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 3																																																																			
Bloom Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 4																																																																			
Bloom Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 5																																																																			
Bloom Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 6																																																																			
Bloom Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 7																																																																			
Bloom Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 8																																																																			
Bloom Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 9																																																																			
Bloom Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Bloom Lv 10																																																																			
Teful Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 1																																																																			
Teful Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 2																																																																			
Teful Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 3																																																																			
Teful Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 4																																																																			
Teful Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 5																																																																			
Teful Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 6																																																																			
Teful Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 7																																																																			
Teful Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 8																																																																			
Teful Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 9																																																																			
Teful Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Teful Lv 10																																																																			
Pekki Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 1																																																																			
Pekki Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 2																																																																			
Pekki Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 3																																																																			
Pekki Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 4																																																																			
Pekki Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 5																																																																			
Pekki Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 6																																																																			
Pekki Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 7																																																																			
Pekki Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 8																																																																			
Pekki Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 9																																																																			
Pekki Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Pekki Lv 10																																																																			
Battleground Defeated Race Halt	20	2	2	101	2												9																								2																										
<Battle>Cast Halt	10	2	2	100	1		4000													10																								0																							
<Battle>Individual Ability 2	10	2	2	100	2															10																												2																			
<Battle>Party Ability 2	10	2	2	100	206															10																												2																			
<Battle>Race Ability 2	10	2	2	100	207															10																												2																			
Talisman of Heavenly Luck	10	2	2	100	1																																											2			1	14		1													
Disturb	21	1	1	1	202	1								101			3			10																					1																										
Hurt Muscle	21	1	1	1	202	1								101						10																					1																										
Battle Machine	10	1	2	100	1	1														10																					2																										
Good Xenon	10	1	2	100	1	18														10																					2																										
Good Karon	10	1	2	100	1	17														10																					2																										
Awake Orbiter																																																																			
Awake Slayer																																																																			
Awake Summoner																																																																			
Distribute	40	1	2	100	303	1														10																					2																						7				
Hater	21	1	1	1	1304	1								101						10																					1																										
Purgatory	10	1	2	100	303	1														10																					2																										
Power Stunner	21	1	1	1	202	17	1000							101			1																								2																										
Reverse Death	10	1	2	100	1	17	1000																														1				2																										
War Cry	10	1	1	100	1	17														10																					2																										
Body Check	21	1	1	1	1404	17	1000		50	400				109						10																					1																										
Ambush	1	1	1	1	202	17								101																											1			2																							
Zen Shield	10	1	2	100	1	17														10				4																	2																										
Tidal Wave	21	1	1	1	304	17								101						10																					2																										
Legendary Slayer	10	1	2	100	1	17	1000										4																								2																										
Break Armor	21	1	1	1	202	17								111						10																					2																										
Air Strike	10	1	2	100	1	17	1000							106						10																					2																										
Lose Faith	1	1	1	1	202	17								101																											2																										
Mind Eye	21	1	1	1	202	18								101			3			10																					2																										
Twister	21	1	1	101	1304	18			2					101																10001		1									1																										
Rush Hour	10	1	2	100	1	18														10																					2																										
Block Breaker	1	1	1	1	1404	18								101																											1																										
Push Away	21	1	1	1	1304	18								101						10																					2																										
Shadow Effector	10	1	2	100	1	18														10																					2																										
Siphon Wave	21	1	1	1	1304	18								101			3			10																					2																										
Remove Armor	21	1	1	1	202	18								101						10																					2																										
Swift	10	1	2	100	1	18														10	4																				2																										
Toxic Hand	21	1	1	1	202	18								101			9																								1																										
Flash and Burn	21	1	1	101	1304	18			2					101						10																					2																										
Screamer	21	1	1	1	1304	18								101			3			10																					2																										
Killing Breath	1	1	1	1	1404	1								101																											2																										
Mana Union	10	1	2	100	1	1														10																					2																										
Mighty Foot	21	1	1	111	1304	1								101						10																					2																										
Perfect Sense	10	1	2	100	1	1														10																					2																										
Mind Jumper	10	1	2	100	1	1														10																					2																										
Mighty Wing	21	1	1	111	304	1								101						10																					2																										
Hell Infinity	21	1	1	1	1304	1			2					101																10001		1									1																										
World Ruler	10	1	2	100	1	1														10																					2																										
Breath of Rage	21	1	1	101	1304	1	1000		50	400				109						10																					2																										
Call on Nature	210	1	2	100	1																																				2					7													1								
Lose Mind	21	1	1	1	202	1			2					101						10																					2																										
Sacred One	210	1	2	100	1	1																																			2					0																					
Super Talisman of Awakening (China)	10	2	2	100	1																																											2			1	3		1													
Talisman of Awakening+ (China)	10	2	2	100	1																																											2			1	3		1													
String of Family Happiness	10	2	2	100	1															10																																															
Bead of Friendship	10	2	2	100	1															10																																															
Toy of Blessing	10	2	2	100	1															10																																															
Moon Welcoming Toy	10	2	2	100	1															10																																															
<MOB>Blood Bath	1	2	1	1	1304									101																																																					
Slayer of Evolution	10	3	2	100	1							1								10								5																				2	1																		
Slayer of Revolution																																																																			
Slayer of Lord																																																																			
Orbiter of Evolution	10	3	2	100	1							1								10								5																				2	1																		
Orbiter of Revolution																																																																			
Orbiter of Lord																																																																			
Summoner of Evolution	10	3	2	100	1							1								10								5																				2	1																		
Summoner of Revolution																																																																			
Summoner of Lord																																																																			
Evil-warding Pumpkin	10	2	2	100	1															10																																4															
Soul-calling Candle	10	2	2	100	1															10																																1															
Holy Oak Branch	10	2	2	100	1															10																																2															
Halloween Pumpkinhead Ability	10	2	2	100	1		1000													10																												2				7		1													
Halloween Avatar Ability	10	2	2	100	1		1000													10																												2				7		1													
Halloween Pumpkinhead Ability 2	10	2	2	100	1		1000													10																												2				7		1													
Halloween Pumpkinhead Ability 3	10	2	2	100	1		1000													10																												2				7		1													
<MOB>Tracker Ein	1	2	1	1	1304									101																																																					
<MOB>Tracker Zwei	1	2	1	1	1304									101																																																					
<MOB>Tracker Drai	1	2	1	1	1304									101																																																					
<MOB>Dark Age	1	2	1	1	1304									101																																																					
<MOB>Haken Hollow	1	2	1	1	1304									101																																																					
<MOB>Nine Vital	1	2	1	1	1304									101																																																					
<MOB>Chariot Gladiator	1	2	1	1	1304									101																																																					
<Summon>Sacred One	9	1	1	111	1															10																																															
<Summon>Call on Nature																																																																			
Christmas Bell	10	2	2	100	1															10																																															
Christmas Socks	10	2	2	100	1															10																																															
Rudolf Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 1																																																																			
Rudolf Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 2																																																																			
Rudolf Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 3																																																																			
Rudolf Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 4																																																																			
Rudolf Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 5																																																																			
Rudolf Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 6																																																																			
Rudolf Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 7																																																																			
Rudolf Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 8																																																																			
Rudolf Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 9																																																																			
Rudolf Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Rudolf Lv 10																																																																			
Powerful Might	10	1	2	100	1	17	1000							106																											2																										
Moral Courage	10	1	1	100	1	17														10																					2																										
Smart Sniper	10	1	1	100	1	18														10																					2																										
Great Honor	10	1	1	100	1	18														10																					2																										
Soul of Scion	10	1	1	100	1	1														10																					2																										
Guardian of Scion	10	1	1	100	1	1														10																					2																										
Force Claw	9	1	2	111	1															10																																															
Wing Over	9	1	2	111	1															10																																															
Piercing Tooth	9	1	2	111	1		1000		5	150				106																																																					
Strong Mind	9	1	2	111	1															10																																															
Iron Scale	9	1	2	111	1															10																																															
Dragon Might	9	1	2	111	1															10																																															
Dragon Wing	9	1	2	111	1															10																																															
Dragon Head	9	1	2	111	1															10																																															
Dragon Mind	9	1	2	111	1															10																																															
Dragon Blood	9	1	2	111	1															10																																															
<MOB>Three Bothers of Nine Vital	1	2	1	1	1304									101																																																					
<MOB>Hyper Howl of Nine Vital	1	2	1	1	1304									101																																																					
<MOB>Haken Hollow Overseer	1	2	1	1	1304									101																																																					
<MOB>Haken Hollow Undertaker	1	2	1	1	1304									101																																																					
<MOB>Chariot Gladiator Skill 01	1	1	1	1	1404									101																											2																										
<Summon>Mighty Foot	9	1	1	111	1															10																								6																							
<Summon>Mighty Foot Skill 01	21	1	1	111	304									101						10																																	1														
<Summon>Mighty Wing	9	1	1	111	1															10																								6																							
<Summon>Mighty Wing Skill 01	21	1	1	111	304									101						10																																	1														
<Summon>Sacred One Skill 01	10	1	1	1	202															10																																	1														
<Summon>Sacred One Skill 02	10	1	1	1	202															10																																	1														
Scion's Normal Attack																																																																			
Novice Buff Potion	10	2	2	100	1															10																												2			1			1													
Talisman of Awakening 30	10	2	2	100	1																																											2			1	3		1													
Talisman of Awakening 50	10	2	2	100	1																																											2			1	3		1													
<Hero Tartasandra>Twister	21	1	1	101	1304				2					101																10001		1									1																										
<Hero Tartasandra>Disturb	21	1	1	1	202									101			3			10																					1																										
<Hero Tartasandra>Power Stunner	21	1	1	1	202		1000							101			1																								2																										
<Limoivoire>Ambush	1	1	1	1	202									101																											1			2																							
<Limoivoire>Tidal Wave	21	1	1	1	304									101						10																					2																										
<Limoivoire>Break Armor	1	1	1	1	202									111																											2																										
<Ruzru>Mind Eye	1	1	1	1	202									101																											1																										
<Ruzru>Block Breaker	1	1	1	1	1404									101																											1																										
<Ruzru>Remove Armor	21	1	1	1	202									101						10																					2																										
Guard Slayer	1	1	1	1	202									101																											1																										
Guard Orbiter	1	1	1	1	202									101																											1																										
Guard Summoner	1	1	1	1	202									101																											1																										
Superior 2	10	2	2	100	1		1000													10																												2				7		1													
Mercoon Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 1																																																																			
Mercoon Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 2																																																																			
Mercoon Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 3																																																																			
Mercoon Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 4																																																																			
Mercoon Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 5																																																																			
Mercoon Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 6																																																																			
Mercoon Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 7																																																																			
Mercoon Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 8																																																																			
Mercoon Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 9																																																																			
Mercoon Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Mercoon Lv 10																																																																			
Ramda Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 1																																																																			
Ramda Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 2																																																																			
Ramda Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 3																																																																			
Ramda Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 4																																																																			
Ramda Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 5																																																																			
Ramda Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 6																																																																			
Ramda Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 7																																																																			
Ramda Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 8																																																																			
Ramda Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 9																																																																			
Ramda Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Ramda Lv 10																																																																			
Abrahya Lv 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 1																																																																			
Abrahya Lv 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 2																																																																			
Abrahya Lv 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 3																																																																			
Abrahya Lv 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 4																																																																			
Abrahya Lv 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 5																																																																			
Abrahya Lv 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 6																																																																			
Abrahya Lv 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 7																																																																			
Abrahya Lv 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 8																																																																			
Abrahya Lv 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 9																																																																			
Abrahya Lv 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon>Abrahya Lv 10																																																																			
Talisman of Awakening 100	10	2	2	100	1																																											2			1	3		1													
Talisman of Awakening 50p	10	2	2	100	1																																											2			1	3		1													
Talisman of Awakening 20	10	2	2	100	1																																											2			1	3		1													
<Event> All Stats Increase	20010	2	2	101	201															10																																															
<Event> Skill Upgrade	20010	2	2	101	201															10																			1		2																										
<Event> Max HP Increase	20010	2	2	101	201															10																																															
<Event> Critical Hit Defense Increase	20010	2	2	101	201															10				4																																											
<Event> Bonus XP Increase	20010	2	2	101	201															10																																1															
<Event> Bonus Drop Rate Increase	20010	2	2	101	201															10																																4															
<Event> Bonus Gold Increase	20010	2	2	101	201															10																																2															
<Event> Skill Cast Time Decrease	20010	2	2	101	201															10																																															
<Event> Skill Cooldown Decrease	20010	2	2	101	201															10																																															
<Event> Event Ability	10	2	2	100	1		4000													10																								6				2																			
<Event> Event Ability 2	10	2	2	100	211															10																												2																			
[E] Giant Potion	10	2	2	100	1															10																												2			1			1													
[E] Evasion Potion	10	2	2	100	1															10																												2			1			1													
[E] Light Speed Potion	10	2	2	100	1															10																												2			1			1													
[E] Quickness Potion	10	2	2	100	1															10																												2			1			1													
[E] Defense Potion	10	2	2	100	1															10																												2			1			1													
Usus' Warning	20020	2	2	111	201												0																																					1													
<MOB> <Flame Knight> Intimidating Blow	23	2	1	1	202									101						10																																															
<MOB> <Flame Hunter> Disturb	23	2	1	1	202									101			3			10																																															
<MOB> <Flame Mage> Wretched Cold	23	2	1	1	202									101						10																																															
<MOB> <Flame Looter> Skill 1	23	2	1	101	304									101																10001																																					
<MOB> <Flame Extortioner> Skill 1	23	2	1	1	1304															10																																															
<MOB> <Cry of Fury> Skill 1	23	2	1	101	304									101			3			10																																															
<MOB> <Cry of Fury> Skill 2	23	2	1	1	1304		1000							101			1																																																		
<MOB> <Bloodline Warrior> Lightning Rush	26	2	1	1	404									101					2	10																																															
<MOB> <Bloodline Scout> Diminishing Hex	26	2	1	1	2															10																																															
<MOB> <Bloodline Mage> Antimagic	40	2	1	1	202				1																		16																																								
<MOB> <Life Hunter> Skill 1	26	2	2	1	404															10																																															
<MOB> <Life Ambusher> Skill 1	26	2	1	101	304															10																																															
<MOB> <Cry of Silence> Skill 1	26	2	1	101	304															10																																															
<MOB> <Cry of Silence> Skill 2	26	2	1	1	1304									101																10001																																					
<MOB> <Storm Knight> Repress	10	2	1	1	202												15																																																		
<MOB> <Storm Archer> Restrain	20	2	1	1	202												14																																																		
<MOB> <Storm Mage> Typhoon	25	2	1	1	1304				5					101						10																																															
<MOB> <Blade Inspector> Skill 1	25	2	1	101	304				4					101						10												1																																			
<MOB> <Blade Robber> Skill 1	25	2	1	1	1304		1000							101			1																																																		
<MOB> <Cry of Pain> Skill 1	25	2	2	101	304															10																																															
<MOB> <Cry of Pain> Skill 2	25	2	1	1	1304				4					101						10												1																																			
<MOB> <Lord of Heaven's Hell> Skill 1	22	2	1	1	1304		1000							101			1																																																		
<MOB> <Lord of Heaven's Hell> Skill 2	22	2	1	101	304															10																																															
<MOB> <Lord of Heaven's Hell> Skill 3	22	2	1	1	404				4					101						10												1																																			
Usus' Warning <1 day>	20010	2	2	111	201												0																																																		
Usus' Warning <7 days>	20010	2	2	111	201												0																																																		
Usus' Warning <30 days>	20010	2	2	111	201												0																																																		
Remains of Ashtal	10	2	2	100	1															10																																															
<MOB> <Arch Demon> Skill 1	22	2	1	1	1304		1000							101			1																																																		
<MOB> <Arch Demon> Skill 2	22	2	1	1	1304															10																																															
<MOB> <Arch Demon> Skill 3	22	2	1	1	1304				4					101						10												1																																			
<MOB> <Arch Demon> Skill 4	40	2	1	1	202				1																		16																																								
Ashtal's Energy Lv. 1	10	2	2	101	201																																															1															
Ashtal's Energy Lv. 2	10	2	2	101	201																																															1															
Ashtal's Energy Lv. 3	10	2	2	101	201																																															1															
Ashtal's Energy Lv. 4	10	2	2	101	201																																															1															
Ashtal's Energy Lv. 5	10	2	2	101	201																																															1															
Ashtal's Energy Lv. 6	10	2	2	101	201																																															1															
Ashtal's Energy Lv. 7	10	2	2	101	201																																															1															
Ashtal's Energy Lv. 8	10	2	2	101	201															10																																4															
Frenzied 2	10	2	2	100	1		1000													10																												2				7		1													
Wishing Candle	10	2	2	100	1															10																																															
Revin Lv. 1	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 1																																																																			
Revin Lv. 2	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 2																																																																			
Revin Lv. 3	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 3																																																																			
Revin Lv. 4	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 4																																																																			
Revin Lv. 5	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 5																																																																			
Revin Lv. 6	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 6																																																																			
Revin Lv. 7	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 7																																																																			
Revin Lv. 8	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 8																																																																			
Revin Lv. 9	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 9																																																																			
Revin Lv. 10	210	2	2	100	1															10	12			4																						8		2						1					1								
<Summon> Revin Lv. 10																																																																			
<Title> Advanced Knight	10	2	2	100	1															10																																	1	1													
<Title> Advanced Archer	10	2	2	100	1															10																																	1	1													
<Title> Advanced Mage	10	2	2	100	1															10																																	1	1													
<Title> Embodiment of Magic	10	2	2	100	1															10																																	1	1													
<Title> Embodiment of Fire	10	2	2	100	1															10																																	1	1													
<Title> Embodiment of Air	10	2	2	100	1															10																																	1	1													
<Title> Embodiment of Water	10	2	2	100	1															10																																	1	1													
<Title> Embodiment of Earth	10	2	2	100	1															10																																	1	1													
<Title> Ugdrasil's Nectar	10	2	2	100	1		1000							106						10																																	1														
<Title> Dikain's Nectar	10	2	2	100	1															10																																3	1														
<Title> Gracia's Nectar	10	2	2	100	1															10																																	1														
<Title> Zian's Nectar	10	2	2	100	1															10																																	1														
<Title> Syripus' Nectar	10	2	2	100	1															10																																12	1														
Iron Shield	9	1	2	111	1	3														10																																															
Justice of Battle	1	1	1	1	202	1								101																											1																										
Shield of the Front	10	1	2	100	303	1														10																					2																										
Martyr's Retribution	1	1	1	1	1404	1								101																											1																										
Forced March	9	1	2	111	1	3														10																																															
Strike of Judgement	21	1	1	1	202	1								101					3	10																					2																						1				
Righteous Smite	21	1	1	1	1304	1	1000							101			25																								2																							2			
Brilliant Spirit	10	1	2	110	1	1														10																					2																										
Terrifying Nemesis	21	1	1	1	202	1	1000							101			20			10																					2																							10			
Inexorable Strike	21	1	1	1	202	1	1000							101			22			10																					2																							15			
Slight of Bow	9	1	2	111	1	11														10																																															
Biting Strike	1	1	1	1	1304	1								101																											1																										
Bow of Meditation	40	1	1	111	201	1											0										64														2																							1002			
Ghost on the Arrow	1	1	1	1	1404	1								101																											1																										
Illusion Stride	9	1	2	111	1	11														10																																															
Scorpion Trap	21	1	1	1	1304	1	1000							101			20			10																					2																							10			
Cloud of Arrows	21	1	1	1	1304	1	1000							101			21			10																					2																							11			
Archer's Eye	10	1	2	100	1	1											0			10																					2																										
Intimidate Blow	21	1	1	1	1404	1	1000							101			24			10																					2																							2			
Hurricane of Death	21	1	1	1	202	1			2					101						10										10001		1									1																										
Magical Tradition	9	1	2	111	1	9														10																																															
Lance of Lightning	1	1	1	1	1404	1								101																											1																										
Radiant Vision	10	1	2	110	1	1														10																					2																										
Titan Crusher	1	1	1	1	1304	1								101																											1																										
